time,cloud,condition.code,condition.icon,condition.text,dewpoint_c,dewpoint_f,feelslike_c,feelslike_f,gust_kph,gust_mph,heatindex_c,heatindex_f,humidity,is_day,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,windchill_c,windchill_f
13/06/2019 00:00,73,1240,//cdn.apixu.com/weather/64x64/night/353.png,Light rain shower,10.6,51.1,13.4,56.1,9.7,6,13.6,56.5,82,0,0.02,0.58,30.2,1006,13.6,56.5,12.8,7,192,SSW,7.2,4.5,13.4,56.1
13/06/2019 01:00,63,1240,//cdn.apixu.com/weather/64x64/night/353.png,Light rain shower,10.1,50.2,12.6,54.6,12.2,7.6,13.1,55.6,82,0,0.01,0.29,30.2,1006,13.1,55.6,15.1,9,199,SSW,9.1,5.7,12.6,54.6
13/06/2019 02:00,52,1003,//cdn.apixu.com/weather/64x64/night/116.png,Partly cloudy,9.7,49.4,11.7,53.1,14.8,9.2,12.7,54.8,82,0,0,0,30.2,1005,12.7,54.8,17.3,10,206,SSW,11,6.9,11.7,53.1
13/06/2019 03:00,42,1003,//cdn.apixu.com/weather/64x64/night/116.png,Partly cloudy,9.2,48.6,10.9,51.6,17.3,10.7,12.2,54,82,0,0,0,30.2,1005,12.2,54,19.6,12,213,SSW,13,8.1,10.9,51.6
13/06/2019 04:00,45,1003,//cdn.apixu.com/weather/64x64/night/116.png,Partly cloudy,9.2,48.6,11,51.8,19.8,12.3,12.4,54.4,81,0,0,0,30.2,1005,12.4,54.4,19.5,12,213,SSW,14.5,9,11,51.8
13/06/2019 05:00,48,1003,//cdn.apixu.com/weather/64x64/day/116.png,Partly cloudy,9.3,48.7,11.1,52,22.3,13.9,12.7,54.8,80,1,0,0,30.2,1005,12.7,54.8,19.5,12,214,SW,16.1,10,11.1,52
13/06/2019 06:00,51,1003,//cdn.apixu.com/weather/64x64/day/116.png,Partly cloudy,9.3,48.7,11.2,52.2,24.8,15.4,12.9,55.2,79,1,0,0,30.2,1005,12.9,55.2,19.4,12,214,SW,17.6,11,11.2,52.2
13/06/2019 07:00,58,1003,//cdn.apixu.com/weather/64x64/day/116.png,Partly cloudy,9.2,48.6,12.8,55.1,25.9,16.1,14,57.1,74,1,0,0,30.2,1005,14,57.1,17.8,11,216,SW,19.9,12.4,12.8,55.1
13/06/2019 08:00,65,1063,//cdn.apixu.com/weather/64x64/day/176.png,Patchy rain possible,9.2,48.5,14.5,58,27,16.8,15,59.1,68,1,0,0.03,30.2,1006,15,59.1,16.1,10,218,SW,22.2,13.8,14.5,58
13/06/2019 09:00,72,1063,//cdn.apixu.com/weather/64x64/day/176.png,Patchy rain possible,9.1,48.4,16.1,61,28.1,17.4,16.1,61,63,1,0,0.04,30.2,1006,16.1,61,14.5,9,220,SW,24.5,15.2,16.1,61
13/06/2019 10:00,73,1063,//cdn.apixu.com/weather/64x64/day/176.png,Patchy rain possible,8.8,47.9,16.6,61.9,31.1,19.3,16.6,61.9,60,1,0,0.02,30.2,1006,16.6,61.9,14.3,8,217,SW,26.8,16.6,16.6,61.9
13/06/2019 11:00,74,1240,//cdn.apixu.com/weather/64x64/day/353.png,Light rain shower,8.6,47.4,17.1,62.8,34.1,21.2,17.1,62.8,57,1,0,0.1,30.2,1005,17.1,62.8,14.2,8,213,SSW,29,18,17.1,62.8
13/06/2019 12:00,75,1240,//cdn.apixu.com/weather/64x64/day/353.png,Light rain shower,8.3,46.9,17.6,63.7,37.1,23,17.6,63.7,54,1,0.01,0.13,30.2,1005,17.6,63.7,14,8,210,SSW,31.3,19.5,17.6,63.7
13/06/2019 13:00,68,1240,//cdn.apixu.com/weather/64x64/day/353.png,Light rain shower,8.1,46.6,17.8,64,36.4,22.6,17.8,64,53,1,0,0.07,30.2,1005,17.8,64,14.2,8,212,SSW,31,19.2,17.8,64
13/06/2019 14:00,61,1003,//cdn.apixu.com/weather/64x64/day/116.png,Partly cloudy,8,46.3,17.9,64.3,35.6,22.1,17.9,64.3,52,1,0,0,30.2,1005,17.9,64.3,14.3,8,214,SW,30.6,19,17.9,64.3
13/06/2019 15:00,54,1003,//cdn.apixu.com/weather/64x64/day/116.png,Partly cloudy,7.8,46,18.1,64.6,34.9,21.7,18.1,64.6,51,1,0,0,30.2,1006,18.1,64.6,14.5,9,217,SW,30.2,18.8,18.1,64.6
13/06/2019 16:00,63,1003,//cdn.apixu.com/weather/64x64/day/116.png,Partly cloudy,8.2,46.8,17.5,63.4,33.8,21,17.5,63.4,55,1,0,0,30.2,1006,17.5,63.4,14.8,9,217,SW,28.9,18,17.5,63.4
13/06/2019 17:00,73,1006,//cdn.apixu.com/weather/64x64/day/119.png,Cloudy,8.6,47.5,16.8,62.3,32.8,20.4,16.8,62.3,58,1,0,0,30.2,1006,16.8,62.3,15.2,9,218,SW,27.6,17.1,16.8,62.3
13/06/2019 18:00,82,1006,//cdn.apixu.com/weather/64x64/day/119.png,Cloudy,9,48.2,16.2,61.2,31.7,19.7,16.2,61.2,62,1,0,0,30.2,1006,16.2,61.2,15.5,9,218,SW,26.3,16.3,16.2,61.2
13/06/2019 19:00,88,1006,//cdn.apixu.com/weather/64x64/day/119.png,Cloudy,9.2,48.6,15,59,31.2,19.4,15.6,60,66,1,0,0,30.2,1006,15.6,60,14.7,9,215,SW,25.2,15.7,15,59
13/06/2019 20:00,94,1009,//cdn.apixu.com/weather/64x64/day/122.png,Overcast,9.5,49,13.8,56.8,30.7,19.1,14.9,58.9,70,1,0,0,30.2,1007,14.9,58.9,14,8,213,SSW,24.1,15,13.8,56.8
13/06/2019 21:00,100,1009,//cdn.apixu.com/weather/64x64/day/122.png,Overcast,9.7,49.5,12.6,54.7,30.2,18.8,14.3,57.7,74,1,0,0,30.2,1007,14.3,57.7,13.2,8,210,SSW,23,14.3,12.6,54.7
13/06/2019 22:00,100,1009,//cdn.apixu.com/weather/64x64/night/122.png,Overcast,9.9,49.8,12.3,54.2,30.5,18.9,14.1,57.3,76,0,0,0,30.2,1007,14.1,57.3,13.2,8,209,SSW,22.3,13.9,12.3,54.2
13/06/2019 23:00,100,1009,//cdn.apixu.com/weather/64x64/night/122.png,Overcast,10.1,50.2,12.1,53.7,30.7,19.1,13.8,56.9,78,0,0,0,30.2,1008,13.8,56.9,13.2,8,208,SSW,21.6,13.4,12.1,53.7
