,chanceoffog,chanceoffrost,chanceofhightemp,chanceofovercast,chanceofrain,chanceofremdry,chanceofsnow,chanceofsunshine,chanceofthunder,chanceofwindy,cloudcover,dewpoint,feelslike,heatindex,humidity,precip,pressure,temperature,time,uv_index,visibility,weather_code,weather_descriptions,weather_icons,wind_degree,wind_dir,wind_speed,windchill,windgust,location,date
0,0,0,0,0,0,0,0,0,0,0,3,6,7,8,90,0.0,1012,8,0,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],240,WSW,7,7,12,Glasgow,2020-04-26
1,0,0,0,0,0,0,0,0,0,0,4,5,6,7,88,0.0,1012,7,100,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],241,WSW,7,6,13,Glasgow,2020-04-26
2,0,0,0,0,0,0,0,0,0,0,5,4,4,6,87,0.0,1011,6,200,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],241,WSW,8,4,15,Glasgow,2020-04-26
3,0,0,0,0,0,0,0,0,0,0,6,3,3,5,86,0.0,1011,5,300,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],242,WSW,8,3,16,Glasgow,2020-04-26
4,0,0,0,0,0,0,0,0,0,0,5,3,3,5,86,0.0,1011,5,400,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],248,WSW,9,3,16,Glasgow,2020-04-26
5,0,0,0,0,0,0,0,0,0,0,5,4,3,6,87,0.0,1011,6,500,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],254,WSW,10,3,17,Glasgow,2020-04-26
6,0,0,0,0,0,0,0,0,0,0,4,4,3,6,87,0.0,1011,6,600,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],260,W,11,3,17,Glasgow,2020-04-26
7,0,0,0,0,0,0,0,0,0,0,6,3,5,7,78,0.0,1011,7,700,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],269,W,13,5,18,Glasgow,2020-04-26
8,0,0,0,0,0,0,0,0,0,0,7,3,6,8,70,0.0,1011,8,800,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],278,W,15,6,18,Glasgow,2020-04-26
9,0,0,0,0,0,0,0,0,0,0,9,2,7,10,61,0.0,1011,10,900,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],286,WNW,17,7,19,Glasgow,2020-04-26
10,0,0,0,0,0,0,0,0,0,0,16,2,8,10,58,0.0,1011,10,1000,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],286,WNW,17,8,19,Glasgow,2020-04-26
11,0,0,0,0,0,0,0,0,0,0,24,2,9,11,55,0.0,1011,11,1100,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],286,WNW,17,9,19,Glasgow,2020-04-26
12,0,0,0,0,0,0,0,0,0,0,31,2,10,12,53,0.0,1011,12,1200,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],285,WNW,17,10,19,Glasgow,2020-04-26
13,0,0,0,0,0,0,0,0,0,0,26,2,10,12,53,0.0,1010,12,1300,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],282,WNW,18,10,20,Glasgow,2020-04-26
14,0,0,0,0,0,0,0,0,0,0,20,3,10,12,53,0.0,1010,12,1400,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],279,W,18,10,21,Glasgow,2020-04-26
15,0,0,0,0,0,0,0,0,0,0,15,3,10,12,54,0.0,1010,12,1500,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],275,W,19,10,22,Glasgow,2020-04-26
16,0,0,0,0,0,0,0,0,0,0,11,2,9,11,55,0.0,1009,11,1600,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],278,W,18,9,22,Glasgow,2020-04-26
17,0,0,0,0,0,0,0,0,0,0,7,2,8,10,57,0.0,1009,10,1700,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],281,WNW,18,8,21,Glasgow,2020-04-26
18,0,0,0,0,0,0,0,0,0,0,4,2,8,10,58,0.0,1009,10,1800,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],285,WNW,17,8,21,Glasgow,2020-04-26
19,0,0,0,0,0,0,0,0,0,0,2,3,7,9,66,0.0,1009,9,1900,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],279,W,14,7,18,Glasgow,2020-04-26
20,0,0,0,0,0,0,0,0,0,0,1,3,6,8,74,0.0,1009,8,2000,3,10,113,['Sunny'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'],273,W,12,6,15,Glasgow,2020-04-26
21,0,0,0,0,0,0,0,0,0,0,0,4,5,7,82,0.0,1009,7,2100,1,10,113,['Clear'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'],268,W,9,5,12,Glasgow,2020-04-26
22,0,0,0,0,0,0,0,0,0,0,1,4,5,6,85,0.0,1009,6,2200,1,10,113,['Clear'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'],265,W,9,5,12,Glasgow,2020-04-26
23,0,0,0,0,0,0,0,0,0,0,3,4,4,6,88,0.0,1009,6,2300,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],263,W,8,4,12,Glasgow,2020-04-26
0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,91,0.0,1009,5,0,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],260,W,8,3,13,Glasgow,2020-04-27
1,0,0,0,0,0,0,0,0,0,0,9,3,3,4,92,0.0,1009,4,100,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],265,W,7,3,12,Glasgow,2020-04-27
2,0,0,0,0,0,0,0,0,0,0,14,3,2,4,93,0.0,1009,4,200,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],269,W,6,2,11,Glasgow,2020-04-27
3,0,0,0,0,0,0,0,0,0,0,20,2,2,3,93,0.0,1009,3,300,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],274,W,5,2,10,Glasgow,2020-04-27
4,0,0,0,0,0,0,0,0,0,0,21,3,3,4,92,0.0,1009,4,400,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],290,WNW,5,3,9,Glasgow,2020-04-27
5,0,0,0,0,0,0,0,0,0,0,22,3,3,4,92,0.0,1009,4,500,1,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],305,NW,5,3,7,Glasgow,2020-04-27
6,0,0,0,0,0,0,0,0,0,0,24,3,4,5,91,0.0,1009,5,600,2,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],321,NW,4,4,6,Glasgow,2020-04-27
7,0,0,0,0,0,0,0,0,0,0,19,3,6,7,81,0.0,1009,7,700,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],233,SW,4,6,6,Glasgow,2020-04-27
8,0,0,0,0,0,0,0,0,0,0,14,4,9,9,71,0.0,1009,9,800,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],145,SE,4,9,5,Glasgow,2020-04-27
9,0,0,0,0,0,0,0,0,0,0,9,4,11,11,61,0.0,1009,11,900,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],58,ENE,4,11,5,Glasgow,2020-04-27
10,0,0,0,0,0,0,0,0,0,0,25,3,12,12,56,0.0,1009,12,1000,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],71,ENE,4,12,5,Glasgow,2020-04-27
11,0,0,0,0,0,0,0,0,0,0,40,3,13,13,51,0.0,1009,13,1100,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],84,E,4,13,5,Glasgow,2020-04-27
12,0,0,0,0,0,0,0,0,0,0,56,2,14,14,46,0.0,1009,14,1200,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],97,E,4,14,5,Glasgow,2020-04-27
13,0,0,0,0,0,0,0,0,0,0,66,3,14,14,47,0.0,1009,14,1300,4,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],129,SE,4,14,5,Glasgow,2020-04-27
14,0,0,0,0,0,0,0,0,0,0,75,3,14,14,47,0.1,1008,14,1400,3,9,176,['Patchy rain possible'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],162,SSE,4,14,5,Glasgow,2020-04-27
15,0,0,0,0,0,0,0,0,0,0,85,3,15,14,48,0.1,1008,14,1500,3,9,176,['Patchy rain possible'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],195,SSW,4,15,5,Glasgow,2020-04-27
16,0,0,0,0,0,0,0,0,0,0,86,4,14,13,56,0.1,1008,13,1600,3,9,176,['Patchy rain possible'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],135,SE,4,14,4,Glasgow,2020-04-27
17,0,0,0,0,0,0,0,0,0,0,86,5,13,12,64,0.3,1008,12,1700,3,9,176,['Patchy rain possible'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],74,ENE,3,13,4,Glasgow,2020-04-27
18,0,0,0,0,0,0,0,0,0,0,87,6,12,11,72,0.4,1008,11,1800,3,9,176,['Patchy rain possible'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],14,NNE,3,12,4,Glasgow,2020-04-27
19,0,0,0,0,0,0,0,0,0,0,83,6,9,10,76,0.2,1009,10,1900,2,9,176,['Patchy rain possible'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],33,NNE,7,9,10,Glasgow,2020-04-27
20,0,0,0,0,0,0,0,0,0,0,80,5,6,8,80,0.2,1009,8,2000,2,10,353,['Light rain shower'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'],53,NE,11,6,16,Glasgow,2020-04-27
21,0,0,0,0,0,0,0,0,0,0,76,4,4,7,84,0.3,1009,7,2100,1,10,353,['Light rain shower'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png'],72,ENE,15,4,23,Glasgow,2020-04-27
22,0,0,0,0,0,0,0,0,0,0,84,4,3,6,85,0.1,1009,6,2200,1,10,353,['Light rain shower'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png'],70,ENE,14,3,21,Glasgow,2020-04-27
23,0,0,0,0,0,0,0,0,0,0,92,3,3,5,86,0.3,1009,5,2300,1,9,296,['Light rain'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png'],68,ENE,13,3,20,Glasgow,2020-04-27
0,0,0,0,0,0,0,0,0,0,0,100,3,2,5,88,0.6,1009,5,0,1,9,296,['Light rain'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png'],66,ENE,12,2,18,Glasgow,2020-04-28
1,0,0,0,0,0,0,0,0,0,0,99,2,2,4,88,0.3,1009,4,100,1,9,296,['Light rain'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png'],63,ENE,10,2,16,Glasgow,2020-04-28
2,0,0,0,0,0,0,0,0,0,0,98,2,2,4,88,0.0,1009,4,200,1,10,122,['Overcast'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],59,ENE,8,2,14,Glasgow,2020-04-28
3,0,0,0,0,0,0,0,0,0,0,98,2,2,4,88,0.0,1009,4,300,1,10,122,['Overcast'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],55,NE,7,2,12,Glasgow,2020-04-28
4,0,0,0,0,0,0,0,0,0,0,97,2,2,4,86,0.0,1008,4,400,1,10,122,['Overcast'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],54,NE,8,2,12,Glasgow,2020-04-28
5,0,0,0,0,0,0,0,0,0,0,97,2,3,5,85,0.0,1008,5,500,1,10,122,['Overcast'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],53,NE,8,3,12,Glasgow,2020-04-28
6,0,0,0,0,0,0,0,0,0,0,96,3,3,5,83,0.0,1008,5,600,2,10,122,['Overcast'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],53,NE,9,3,12,Glasgow,2020-04-28
7,0,0,0,0,0,0,0,0,0,0,81,3,4,6,80,0.0,1008,6,700,2,10,122,['Overcast'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png'],61,ENE,10,4,12,Glasgow,2020-04-28
8,0,0,0,0,0,0,0,0,0,0,65,3,5,7,76,0.0,1008,7,800,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],70,ENE,11,5,13,Glasgow,2020-04-28
9,0,0,0,0,0,0,0,0,0,0,50,3,5,7,73,0.0,1008,7,900,3,10,116,['Partly cloudy'],['https://assets.weatherstack.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'],79,E,12,5,14,Glasgow,2020-04-28
